iso_a3,name,dollar_price,local_price,iso_numeric
ARE,United Arab Emirates,3.563436282,13.08863636,784
ARG,Argentina,2.911073924,38.28666667,32
AUS,Australia,3.688789537,4.616212121,36
AZE,Azerbaijan,2.326201211,3.95,31
BHR,Bahrain,3.496950753,1.32,48
BRA,Brazil,4.09020764,10.92181818,76
CAN,Canada,4.095958206,4.922121212,124
CHE,Switzerland,6.075455625,6.416969697,756
CHL,Chile,3.32168684,1964.393939,152
CHN,China,2.224636724,15.20606061,156
COL,Colombia,3.671929766,8796.428571,170
CRI,Costa Rica,3.662649397,1975.925926,188
CZE,Czech Republic,3.081453527,68.5269697,203
DNK,Denmark,4.709298498,29.00090909,208
EGY,Egypt,2.126461947,19.76033333,818
EUZ,Euro area,4.170385145,3.444399004,
GBR,Britain,3.908735303,2.568181818,826
GTM,Guatemala,3.264574138,25,320
HKG,Hong Kong,2.05384089,15.98484848,344
HND,Honduras,3.519996928,86,340
HRV,Croatia,3.301432148,21.6,191
HUN,Hungary,3.075279049,731.4545455,348
IDN,Indonesia,2.169181968,24230.87879,360
IND,India,2.134596691,136.7105263,356
ISR,Israel,4.332141212,16.10416667,376
JOR,Jordan,3.045265891,2.16,400
JPN,Japan,3.107609552,326.4848485,392
KOR,South Korea,3.289796997,3684.848485,410
KWT,Kuwait,3.581905243,1.09,414
LBN,Lebanon,4.634768163,7000,422
LKA,Sri Lanka,2.655159002,370.5357143,144
MDA,Moldova,2.529775665,43.6,498
MEX,Mexico,2.626221425,37.2030303,484
MYS,Malaysia,1.922907499,7.052424242,458
NIC,Nicaragua,3.358783091,111.2,558
NOR,Norway,6.39036412,44.36551724,578
NZL,New Zealand,3.66665808,5.21969697,554
OMN,Oman,2.890972892,1.113,512
PAK,Pakistan,2.852702154,292.3260714,586
PER,Peru,3.159651198,9.843066667,604
PHL,Philippines,2.395674383,113.87875,608
POL,Poland,2.472068683,8.452424242,616
QAT,Qatar,3.460395431,12.6,634
ROU,Romania,2.268112796,9.44,642
RUS,Russia,1.99451119,83.22878788,643
SAU,Saudi Arabia,2.850851812,10.69285714,682
SGP,Singapore,3.230505115,4.530606061,702
SWE,Sweden,5.17939616,40.35916125,752
THA,Thailand,2.557445427,86.34818182,764
TUR,Turkey,3.312740482,377426.9442,792
TWN,Taiwan,2.348348508,73.45454545,158
UKR,Ukraine,1.854827757,27.04464286,804
URY,Uruguay,3.913005925,103.11,858
USA,United States,4.178069167,4.178069167,840
VNM,Vietnam,2.770796667,62461.53846,704
ZAF,South Africa,2.109583059,21.22636364,710
