iso_a3,date,currency_code,name,local_price,dollar_ex,dollar_price,iso_numeric,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
ARE,2020-01-14,AED,United Arab Emirates,14.75,3.67305,4.015736243975165,784,,,,,,,,,,,,
ARG,2020-01-14,ARS,Argentina,210.5,65.653125,3.178059921365675,032,,,,,,,,,,,,
AUS,2020-01-14,AUD,Australia,6.5,1.4398402586840748,4.51479750000001,036,,,,,,,,,,,,
AZE,2020-01-14,AZN,Azerbaijan,3.95,1.69775,2.326610008106225,031,,,,,,,,,,,,
BHR,2020-01-14,BHD,Bahrain,1.4,0.377025,3.71328162895183,048,,,,,,,,,,,,
BRA,2020-01-14,BRL,Brazil,20.4,4.741175,4.35904309036467,076,,,,,,,,,,,,
CAN,2020-01-14,CAD,Canada,6.824999999999999,1.330875,5.129163265441665,124,,,,,,,,,,,,
CHE,2020-01-14,CHF,Switzerland,6.5,0.95475,6.80942637917218,756,,,,,,,,,,,,
CHL,2020-01-14,CLP,Chile,2690.0,780.22,3.4474479866672,152,,,,,,,,,,,,
CHN,2020-01-14,CNY,China,21.6,6.94425,3.11059067416183,156,,,,,,,,,,,,
COL,2020-01-14,COP,Colombia,11900.0,3452.3175,3.45482224576528,170,,,,,,,,,,,,
CRI,2020-01-14,CRC,Costa Rica,2350.0,575.895,4.08103767784864,188,,,,,,,,,,,,
CZE,2020-01-14,CZK,Czech Republic,87.0,23.022174999999997,3.7785801784388,203,,,,,,,,,,,,
DNK,2020-01-14,DKK,Denmark,30.0,6.6343499999999995,4.52266240262016,208,,,,,,,,,,,,
EGY,2020-01-14,EGP,Egypt,42.0,15.915,2.639032556082845,818,,,,,,,,,,,,
EUZ,2020-01-14,EUR,Euro area,4.165,0.889391403600241,4.68409825,,,,,,,,,,,,,
GBR,2020-01-14,GBP,Britain,3.39,0.780609539630673,4.343776500000001,826,,,,,,,,,,,,
GTM,2020-01-14,GTQ,Guatemala,25.0,7.69965,3.2469032551354147,320,,,,,,,,,,,,
HKG,2020-01-14,HKD,Hong Kong,20.5,7.7631499999999996,2.640687173237315,344,,,,,,,,,,,,
HND,2020-01-14,HNL,Honduras,87.0,24.67275,3.526159266732125,340,,,,,,,,,,,,
HRV,2020-01-14,HRK,Croatia,22.0,6.66185,3.3024753160077003,191,,,,,,,,,,,,
HUN,2020-01-14,HUF,Hungary,900.0,305.064075,2.9514641801946953,348,,,,,,,,,,,,
IDN,2020-01-14,IDR,Indonesia,33500.0,14052.5,2.384715784427275,360,,,,,,,,,,,,
IND,2020-01-14,INR,India,189.0,73.037825,2.589559588184745,356,,,,,,,,,,,,
ISR,2020-01-14,ILS,Israel,17.0,3.4481,4.930305334763105,376,,,,,,,,,,,,
JOR,2020-01-14,JOD,Jordan,2.3,0.709,3.24400564174894,400,,,,,,,,,,,,
